"DateTime","Bus","Generation (MW)","Load (MW)","Price ($/MWh)","Revenue ($)","Cost ($)","Deficit(MW)","Surplus(MW)"
"13-FEB-2017 09:30","462",0.000,0.000,77.165,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","463",0.000,7.546,74.965,0.000,282.843,0.000,0.000
"13-FEB-2017 09:30","464",0.000,0.000,74.782,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","465",0.000,0.000,74.793,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","466",0.000,33.867,75.221,0.000,1273.755,0.000,0.000
"13-FEB-2017 09:30","467",0.000,0.000,74.896,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","468",0.000,0.000,75.430,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","469",0.000,49.265,75.008,0.000,1847.635,0.000,0.000
"13-FEB-2017 09:30","47",0.000,0.000,83.624,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","470",0.000,0.000,74.727,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","471",0.000,15.668,74.869,0.000,586.525,0.000,0.000
"13-FEB-2017 09:30","472",0.000,0.000,74.687,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","474",0.000,5.964,75.081,0.000,223.891,0.000,0.000
"13-FEB-2017 09:30","475",0.000,0.000,74.942,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","476",0.000,0.000,75.002,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","477",0.000,0.000,75.066,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","478",0.000,0.000,74.580,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","479",0.000,-61.849,74.580,0.000,-2306.344,0.000,0.000
"13-FEB-2017 09:30","48",0.000,0.000,83.625,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","480",0.000,0.000,74.580,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","481",0.000,0.000,75.081,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","482",0.000,0.000,81.339,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","483",0.000,0.000,81.373,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","484",0.000,0.000,81.476,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","485",11.000,0.000,80.032,440.173,0.000,0.000,0.000
"13-FEB-2017 09:30","486",0.000,0.000,80.032,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","487",0.000,0.172,81.752,0.000,7.031,0.000,0.000
"13-FEB-2017 09:30","488",0.000,58.379,83.634,0.000,2441.221,0.000,0.000
"13-FEB-2017 09:30","489",0.000,0.000,83.373,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","49",0.000,0.000,83.677,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","490",19.000,0.000,80.703,766.674,0.000,0.000,0.000
"13-FEB-2017 09:30","491",0.000,0.000,80.703,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","492",0.000,17.684,77.784,0.000,687.762,0.000,0.000
"13-FEB-2017 09:30","493",0.000,3.812,78.131,0.000,148.917,0.000,0.000
"13-FEB-2017 09:30","494",0.000,0.000,77.477,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","495",0.000,0.000,77.469,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","496",0.000,0.000,81.062,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","497",0.000,0.000,79.080,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","498",0.000,0.000,79.486,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","499",0.000,0.000,79.080,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","5",0.000,0.000,84.355,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","50",56.000,0.000,83.747,2344.910,0.000,0.000,0.000
"13-FEB-2017 09:30","500",0.000,0.000,79.181,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","5001",0.000,0.000,0.000,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","5002",0.000,0.000,0.000,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","5003",0.000,0.000,0.000,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","5004",0.000,0.000,0.000,0.000,0.000,0.000,0.000
